Name,Carbon,Height
Tilia cordata,548.4,14.0
Tilia cordata,23.1,4.0
Tilia cordata,23.1,4.0
Tilia cordata,23.1,4.0
Tilia cordata,23.1,4.0
Tilia cordata,23.1,4.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,96.3,7.0
Tilia cordata,493.9,12.0
Tilia cordata,216.3,8.0
Tilia cordata,349.5,13.0
Tilia cordata,606.3,14.0
Tilia cordata,606.3,13.0
Tilia cordata,60.0,4.0
Tilia cordata,118.3,6.0
Tilia cordata,442.5,7.0
Tilia cordata,442.5,13.0
Tilia cordata,442.5,13.0
Tilia cordata,442.5,13.0
Tilia cordata,800.4,13.0
Tilia cordata,39.0,5.0
Tilia cordata,1736.8,19.0
Tilia cordata,1736.8,19.0
Tilia cordata,1736.8,19.0
Tilia cordata,170.1,10.0
Tilia cordata,170.1,11.0
Tilia cordata,200.2,10.0
Tilia cordata,170.1,11.0
Tilia cordata,130.2,10.0
Tilia cordata,520.7,18.0
Tilia cordata,86.3,5.0
Tilia cordata,200.2,5.0
Tilia cordata,170.1,5.0
Tilia cordata,170.1,5.0
Tilia cordata,170.1,5.0
Tilia cordata,170.1,5.0
Tilia cordata,233.1,8.0
Tilia cordata,233.1,8.0
Tilia cordata,418.1,6.0
Tilia cordata,216.3,6.0
Tilia cordata,216.3,6.0
Tilia cordata,170.1,6.0
Tilia cordata,250.6,6.0
Tilia cordata,200.2,6.0
Tilia cordata,287.9,7.0
Tilia cordata,287.9,9.0
Tilia cordata,287.9,9.0
Tilia cordata,287.9,9.0
Tilia cordata,287.9,9.0
Tilia cordata,287.9,7.0
Tilia cordata,287.9,7.0
Tilia cordata,130.2,7.0
Tilia cordata,200.2,7.0
Tilia cordata,200.2,7.0
Tilia cordata,15.0,3.0
Tilia cordata,60.0,5.0
Tilia cordata,60.0,5.0
Tilia cordata,732.3,12.0
Tilia cordata,1476.0,16.0
Tilia cordata,617.7,15.0
Tilia cordata,2765.1,18.0
Carpinus betulus,32.2,4.5
Carpinus betulus,32.2,4.0
Carpinus betulus,32.2,5.0
Carpinus betulus,26.5,4.5
Carpinus betulus,32.2,4.0
Carpinus betulus,32.2,4.0
Carpinus betulus,38.5,4.5
Carpinus betulus,115.2,12.0
Carpinus betulus,115.2,12.0
Carpinus betulus,115.2,12.0
Carpinus betulus,115.2,8.0
Carpinus betulus,115.2,8.0
Carpinus betulus,115.2,8.0
Carpinus betulus,26.5,6.0
Carpinus betulus,26.5,6.0
Carpinus betulus,26.5,6.0
Carpinus betulus,26.5,6.0
Carpinus betulus,26.5,6.0
Carpinus betulus,4.8,6.0
Carpinus betulus,4.8,6.0
